taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Genus:Lachnospiraceae_NK4A136_group,1.0526342715335886,-0.480615403904099,-1.9239629927691473,0.2547548680757915,0.08937060237049994,NA,NA,0.4295721324581224,11.778305657711996,NA,NA,0.59304328383226,9.741155229986064e-15,1,1,0.5564095416274475,7.792924183988851e-14,1,1,0.9867925583727195,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:Roseburia,1.1209740067992844,-1.2444746205038373,-1.6819772909905633,0.9733774700539555,0.2810682396951426,NA,NA,0.7341413078339868,3.988262807690886,NA,NA,1.325872089837598,2.923935746814892e-4,1,1,0.19279739725323053,8.50599489982514e-4,1,1,0.6169516712103378,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Lactobacillus,1.6581024774793025,-0.1821313116947615,-3.1621018210511114,-0.2031580549667604,0.251275055030039,NA,NA,0.6760618302970444,6.598754807878094,NA,NA,-0.30050218169763837,6.093075147752453e-8,1,1,0.7653126599579578,2.7854057818296926e-7,1,1,0.9937529749877733,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Family:Lachnospiraceae,0.7663405943268843,-0.8825899363004619,-1.360838909535309,1.0159209353709744,0.27097432806473026,NA,NA,0.563703041941669,2.828092977663261,NA,NA,1.8022271653380577,0.007212128931161611,1,1,0.07886483950368321,0.01538587505314477,1,1,0.3605249805882661,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
Family:Tannerellaceae,0.9584321357239203,-0.6015554840645677,-1.5137753486134546,0.013347775277969067,0.1210446280782339,NA,NA,0.3993453955591776,7.9180063662508315,NA,NA,0.033424137166472245,8.6065648504103e-10,1,1,0.9734985545070192,5.5082015042625925e-9,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:A2,-0.0855019211944051,-0.8217440151575603,0.6413441685011493,0.3386668002063024,0.33578227051633275,NA,NA,0.8764238563489621,-0.25463500816445345,NA,NA,0.3864189658382106,0.8003096125192802,1,1,0.7012343717693683,0.8831002620902403,1,1,0.9937529749877733,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Romboutsia,-0.6836886491738018,0.6126738607569653,1.2355319867206496,-1.7445602596657177,0.3978622656461847,NA,NA,0.874792669908898,-1.7184053583553458,NA,NA,-1.9942556901481563,0.09509299810804543,1,1,0.054440097829390105,0.1521487969728727,1,1,0.3605249805882661,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Muribaculaceae,1.7271944475516057,-0.41341139642270086,-3.1570725847193652,-0.05478799220285731,0.12392172721603906,NA,NA,0.3605369257965534,13.937785458239293,NA,NA,-0.15196222157220451,3.7812683074136014e-17,1,1,0.8799620564075592,1.2100058583723524e-15,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:Marvinbryantia,0.9086238638679883,-0.9563444841507528,-0.7986923477958929,0.09800583539560617,0.18804789748849457,NA,NA,0.4569016982811344,4.831874623451087,NA,NA,0.21450092167375265,1.56002031970602e-4,1,1,0.8327083705222035,4.992065023059264e-4,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:uncultured,1.0385886433563583,-0.6916538669157766,-1.6424376258098965,0.32337949876665345,0.2724636610942687,NA,NA,0.5081292443680673,3.8118427946874744,NA,NA,0.636411901796408,9.532889582191475e-4,1,1,0.5310743000205378,0.0023465574356163633,1,1,0.9867925583727195,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
