taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Genus:Lachnospiraceae_NK4A136_group,-0.22025836311492195,0.04294184107723721,0.5528129120234099,0.018801330592453234,0.15210808133783926,NA,0.27220033380742464,0.4101775357450225,-1.4480385340323745,NA,2.030904607246044,0.045837055796592065,0.1552107466263087,1,0.048783083393550836,0.9636626594954417,0.18847019233194628,1,0.06379326289925878,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Lactobacillus,0.5012630976266881,0.09140738521533552,-0.6081414890245944,-0.597952390877403,0.13259574096747073,NA,0.3525062961405852,0.6428897990280242,3.780386111720295,NA,-1.7251932679865036,-0.9301009158668229,4.999318181165512e-4,1,0.09202412924727157,0.3577631020932661,9.998636362331024e-4,1,0.11588223682989754,0.9153698309345227,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Family:Tannerellaceae,-0.2655804885321057,-0.15899862416376986,0.8833604986217158,-0.10141222194633184,0.11498379496105812,NA,0.23922334499521933,0.37599948076906403,-2.3097210230541667,NA,3.6926182878989886,-0.26971372869692456,0.026015021283557135,1,6.481666403005926e-4,0.7887333820251309,0.038456987984388805,1,0.0011985751234051573,0.9845652952120927,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:A2,-1.3213813348749255,-0.1157590399148362,2.4274318546623728,0.6037213402449251,0.24098172867659703,NA,0.5989929046970045,0.8467107767150972,-5.483325819478411,NA,4.05252188402844,0.7130195538400078,2.910073057221733e-6,1,2.4156446705975184e-4,0.4801896392247691,1.0993609327282103e-5,1,0.00054754612533543755,0.9153698309345227,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Romboutsia,-1.0581172871505444,0.3390597675809426,1.448969460752087,0.9853611469859302,0.5398476513285957,NA,0.85653463891301,1.13885745566967,-1.9600294352424388,NA,1.691664755777898,0.8652190334096895,0.05716537549766035,1,0.09868679003959076,0.39220976940829255,0.08098428195501883,1,0.11983395933378876,0.9153698309345227,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Incertae_Sedis,0.40656995168894816,0.10915286032275419,-0.6558323796042772,-0.2114265710692576,0.12273713412938428,NA,0.28756231467162857,0.5661733578746213,3.3125260303076605,NA,-2.2806617770940583,-0.373430801941899,0.0024190180571557443,1,0.029840347046103416,0.7114537886165757,0.0045692563301830726,1,0.04058287198270065,0.9845652952120927,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Lachnoclostridium,-1.185208894964827,0.9660113919098885,2.2037822790815627,-1.8107978238199547,0.16247632114728253,NA,0.31253092735737936,0.5218923102244529,-7.294656148020803,NA,7.051405432786291,-3.469677150523976,1.2114809791503995e-7,1,2.16487061219887e-7,0.0019048480370932243,5.884336184444797e-7,1,8.178400090529064e-7,0.06476483326116962,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Genus:Muribaculaceae,0.5419505175152441,-0.06530505830041518,-0.9226672553938299,0.1924221586987938,0.07319258866096591,NA,0.19944739287725968,0.35376310208553724,7.404445278272688,NA,-4.626118406880561,0.543929419332906,4.452079655071831e-9,1,3.700793900887307e-5,0.5894358836410998,3.12849808398058e-8,1,8.987642330726316e-5,0.9197523361366442,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Roseburia,-0.8418813656950728,0.08131138809869169,1.8141988736369519,-0.1744942509538122,0.3169190682575929,NA,0.46812333518803667,0.8091679368133968,-2.6564553856721194,NA,3.8754719905347614,-0.21564652158733835,0.011584770366118718,1,4.1991673242051757e-4,0.8304476821498961,0.017903736020365293,1,8.398334648410351e-4,0.9845652952120927,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Genus:Marvinbryantia,-0.18627014966382727,-0.039645975817289285,0.9352237911624869,-0.6551756313940481,0.05905547932491835,NA,0.37356764518435953,0.6131425499046695,-3.154155241700509,NA,2.5034924817992312,-1.0685535223349183,0.007033305518837712,1,0.02529538953963963,0.3033499299609547,0.012585915138972748,1,0.03583513518115614,0.8813670086141928,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
