taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Lachnospiraceae_UCG-001,0.5255889713046944,-0.9955858602238289,-1.195854987626538,1.3793118516911111,0.3818829555886581,NA,NA,0.7787486025851494,1.3763090591317932,NA,NA,1.7711901467461,0.17926116623336327,1,1,0.08703973297410166,0.48798873030193335,1,1,0.46521357691380777,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Lachnospiraceae_NK4A136_group,0.09116859704899492,1.0273326897190789,-1.7305504862843921,0.630162675752097,0.6053356895093494,NA,NA,1.2558750505594842,0.15060832960780984,NA,NA,0.5017717928796847,0.8810232300828227,1,1,0.6185120392877106,0.9433214655468773,1,1,0.8933438847897318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Roseburia,0.25326933260999324,0.3680042284356049,-1.0915927116885884,-0.10541925783133184,0.27278326763923416,NA,NA,0.5601667249404182,0.9284635923672239,NA,NA,-0.18819264539953653,0.35887821270639475,1,1,0.8517014570657943,0.7645666270701453,1,1,0.9484857135505436,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Lactobacillus,-0.10042426807881709,0.4745489873279118,-0.39065190566685637,-0.33234011272401914,0.26729743482128115,NA,NA,0.4965732340628005,-0.37570232630912515,NA,NA,-0.6692670686354166,0.7090751231536936,1,1,0.5070766011251927,0.9079795633623228,1,1,0.828225115171148,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Clostridia_vadinBB60_group,0.16303795165584875,-0.21635372626526939,-0.6539615541225291,0.45941252471937377,0.23495514163255002,NA,NA,0.6533139124623092,0.6939109760399554,NA,NA,0.7032033390929481,0.4916511446306383,1,1,0.48590323368925104,0.8030302028967092,1,1,0.828225115171148,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Enterococcus,-0.12813511378448317,-0.26462827640220626,-0.5027056398359137,0.7580320955938311,0.1696689568722155,NA,NA,0.4646271695739054,-0.7552065866768242,NA,NA,1.631484650992317,0.46046095549799737,1,1,0.12117309962889446,0.7942387341098065,1,1,0.46521357691380777,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Escherichia-Shigella,0.18320753025046646,-0.5077726171756848,-0.697363313686236,0.9998548179738366,0.20660829582006845,NA,NA,0.7185539414399594,0.8867384996487202,NA,NA,1.3914819198822554,0.3811053922424117,1,1,0.17261870214359318,0.7780901758282571,1,1,0.4707428867477438,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Lachnospiraceae_FCS020_group,0.15713002538610943,0.18885976329267543,-0.5980834178343081,-0.24159664524017888,0.19253343666753928,NA,NA,0.4603331739898792,0.816118114888463,NA,NA,-0.5248299685772605,0.42245925432033193,1,1,0.6045161143082448,0.7942387341098065,1,1,0.8933438847897318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
A2,0.21905077417283828,0.43440864746919694,-1.1857777677502777,0.21506841839606358,0.2999411491609101,NA,NA,0.5758181958038286,0.7303125122566081,NA,NA,0.3735005596616014,0.47005965896294666,1,1,0.7110288062612151,0.7942387341098065,1,1,0.8933438847897318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Oscillibacter,0.24576525729224769,-0.054904050215861165,-0.5525682646667676,-0.23166501500222408,0.31465742339730635,NA,NA,0.5519677685844602,0.7810566000279261,NA,NA,-0.41970750501670917,0.4403367020824672,1,1,0.6774191173712888,0.7942387341098065,1,1,0.8933438847897318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
